iter	Passed	Remaining
0	144	144803
1	146	73288
2	148	49470
3	150	37495
4	152	30348
5	154	25529
6	155	22067
7	156	19464
8	158	17470
9	160	15888
10	162	14581
11	163	13489
12	165	12579
13	167	11787
14	169	11101
15	170	10475
16	171	9924
17	173	9443
18	174	9024
19	176	8639
20	177	8278
21	178	7950
22	180	7651
23	181	7375
24	182	7124
25	183	6891
26	185	6670
27	186	6467
28	187	6288
29	189	6131
30	191	5973
31	191	5805
32	192	5648
33	193	5500
34	194	5360
35	195	5229
36	196	5103
37	196	4986
38	197	4874
39	198	4767
40	199	4665
41	200	4570
42	201	4480
43	202	4394
44	203	4315
45	204	4237
46	205	4162
47	206	4088
48	207	4018
49	207	3950
50	208	3884
51	209	3822
52	210	3761
53	211	3702
54	212	3644
55	212	3589
56	213	3535
57	214	3486
58	215	3440
59	216	3388
60	216	3338
61	217	3290
62	218	3244
63	218	3199
64	219	3157
65	220	3116
66	220	3077
67	221	3038
68	222	3000
69	222	2962
70	223	2924
71	224	2888
72	224	2852
73	225	2817
74	225	2783
75	226	2750
76	226	2718
77	227	2687
78	227	2656
79	228	2626
80	228	2597
81	229	2570
82	229	2540
83	230	2513
84	231	2487
85	231	2461
86	232	2436
87	232	2413
88	233	2391
89	234	2368
90	235	2347
91	235	2325
92	236	2302
93	236	2281
94	237	2260
95	237	2239
96	238	2219
97	238	2199
98	239	2179
99	240	2162
100	240	2143
101	241	2125
102	241	2107
103	242	2089
104	243	2072
105	243	2056
106	244	2039
107	244	2023
108	245	2006
109	246	1990
110	246	1975
111	247	1959
112	247	1944
113	248	1930
114	249	1916
115	249	1902
116	250	1887
117	250	1874
118	251	1861
119	252	1850
120	253	1838
121	253	1825
122	254	1812
123	254	1799
124	255	1787
125	255	1774
126	256	1761
127	256	1749
128	257	1737
129	257	1726
130	258	1714
131	259	1703
132	259	1691
133	260	1680
134	260	1669
135	261	1659
136	261	1648
137	262	1638
138	262	1627
139	263	1621
140	264	1611
141	265	1601
142	265	1592
143	266	1582
144	266	1573
145	267	1564
146	267	1555
147	268	1545
148	269	1536
149	269	1528
150	270	1519
151	270	1511
152	271	1502
153	272	1494
154	272	1485
155	273	1477
156	273	1469
157	274	1461
158	274	1454
159	275	1446
160	275	1437
161	276	1429
162	276	1422
163	277	1414
164	278	1408
165	279	1403
166	280	1396
167	280	1389
168	281	1383
169	281	1376
170	282	1369
171	282	1362
172	283	1355
173	284	1348
174	284	1341
175	285	1335
176	285	1328
177	286	1322
178	286	1315
179	287	1309
180	288	1303
181	288	1297
182	289	1291
183	289	1284
184	290	1278
185	290	1272
186	291	1267
187	292	1261
188	292	1255
189	293	1250
190	294	1245
191	294	1240
192	295	1235
193	296	1230
194	296	1225
195	297	1219
196	297	1214
197	298	1208
198	298	1203
199	299	1197
200	300	1192
201	300	1187
202	301	1182
203	301	1177
204	302	1172
205	302	1167
206	303	1162
207	303	1157
208	304	1152
209	305	1147
210	305	1142
211	306	1138
212	307	1134
213	307	1130
214	308	1125
215	308	1121
216	309	1117
217	310	1113
218	311	1109
219	311	1105
220	312	1100
221	312	1096
222	313	1091
223	313	1087
224	314	1083
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1062
230	317	1058
231	318	1053
232	318	1049
233	319	1045
234	320	1041
235	320	1037
236	321	1033
237	321	1029
238	322	1026
239	322	1022
240	323	1018
241	324	1014
242	324	1011
243	325	1008
244	326	1005
245	326	1001
246	327	997
247	327	994
248	328	990
249	328	986
250	329	983
251	330	979
252	330	976
253	331	972
254	331	968
255	332	965
256	332	962
257	333	958
258	333	955
259	334	952
260	335	949
261	335	945
262	336	942
263	337	939
264	337	936
265	338	933
266	338	929
267	339	926
268	339	923
269	340	920
270	341	918
271	341	915
272	342	912
273	343	909
274	343	906
275	344	904
276	345	901
277	345	898
278	346	895
279	347	892
280	347	889
281	348	886
282	348	883
283	349	880
284	349	877
285	350	874
286	350	871
287	351	869
288	352	866
289	352	863
290	353	860
291	353	858
292	354	855
293	355	852
294	355	850
295	356	848
296	357	845
297	357	843
298	358	840
299	358	837
300	359	834
301	360	832
302	360	829
303	361	826
304	361	824
305	362	821
306	362	819
307	363	816
308	364	814
309	364	811
310	365	808
311	365	806
312	366	804
313	366	801
314	367	799
315	368	797
316	368	794
317	369	792
318	370	790
319	370	787
320	371	785
321	372	783
322	372	781
323	373	778
324	373	776
325	374	774
326	375	771
327	375	769
328	376	767
329	376	764
330	377	762
331	377	760
332	378	757
333	378	755
334	379	753
335	380	751
336	380	748
337	381	746
338	381	744
339	382	742
340	383	740
341	384	739
342	384	737
343	385	735
344	387	735
345	388	735
346	389	733
347	390	731
348	391	729
349	391	727
350	392	725
351	392	723
352	393	721
353	394	719
354	394	716
355	395	715
356	395	712
357	396	710
358	397	708
359	397	706
360	398	704
361	398	702
362	399	700
363	399	698
364	400	696
365	401	694
366	401	693
367	402	691
368	403	689
369	403	687
370	404	685
371	404	683
372	405	681
373	406	679
374	406	677
375	407	675
376	407	673
377	408	671
378	408	669
379	409	667
380	409	665
381	410	664
382	411	662
383	411	660
384	412	658
385	412	656
386	413	654
387	413	652
388	414	650
389	414	648
390	415	646
391	415	645
392	416	643
393	417	641
394	418	640
395	418	638
396	419	636
397	419	635
398	420	633
399	420	631
400	421	629
401	422	627
402	422	626
403	423	624
404	423	622
405	424	620
406	424	619
407	425	617
408	426	615
409	426	613
410	427	612
411	427	610
412	428	608
413	428	607
414	429	605
415	430	603
416	430	602
417	431	600
418	431	598
419	432	597
420	433	596
421	434	594
422	434	593
423	435	591
424	435	589
425	436	588
426	437	586
427	437	584
428	438	583
429	438	581
430	439	579
431	439	578
432	440	576
433	440	574
434	441	573
435	441	571
436	442	570
437	443	568
438	443	566
439	444	565
440	444	563
441	445	562
442	445	560
443	447	560
444	450	561
445	452	561
446	455	563
447	458	564
448	460	564
449	461	563
450	461	561
451	462	561
452	463	559
453	464	558
