iter	Passed	Remaining
0	1	107
1	2	102
2	2	89
3	3	78
4	3	75
5	4	71
6	5	69
7	6	71
8	7	70
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	11	62
16	12	61
17	13	59
18	13	58
19	14	57
20	14	56
21	15	55
22	16	54
23	17	54
24	17	53
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	60	2
96	61	1
97	61	1
98	62	0
99	63	0
